서울 강남구,서울 강동구,서울 강북구,서울 강서구,서울 관악구,서울 광진구,서울 구로구,서울 금천구,서울 노원구,서울 도봉구,서울 동대문구,서울 동작구,서울 마포구,서울 서대문구,서울 서초구,서울 성동구,서울 성북구,서울 송파구,서울 양천구,서울 영등포구,서울 용산구,서울 은평구,서울 종로구,서울 중구,서울 중랑구,일시
38,32,48,19,26,27,28,25,40,24,51,31,21,31,34,43,49,41,20,20,34,33,44,33,36,2022-06-04 00:01:00
31,21,39,21,28,21,25,20,30,24,36,29,18,26,27,32,20,29,23,-,27,30,31,23,20,2022-06-04 00:02:00
26,22,29,27,22,15,20,20,19,17,21,28,22,27,26,22,13,21,24,-,24,33,26,18,17,2022-06-04 00:03:00
22,25,21,23,21,15,18,21,15,13,18,28,24,27,29,19,17,24,21,20,23,33,16,24,15,2022-06-04 00:04:00
22,21,18,20,24,17,18,26,18,12,17,28,21,25,31,22,10,29,23,19,25,35,30,19,16,2022-06-04 00:05:00
24,18,16,27,29,18,32,34,16,14,17,29,22,19,31,26,8,28,28,26,21,22,17,15,17,2022-06-04 00:06:00
23,21,16,33,25,18,34,31,16,12,20,27,20,21,33,22,21,28,34,30,25,23,16,14,16,2022-06-04 00:07:00
26,22,16,35,26,20,34,23,16,20,21,26,23,18,25,24,22,-,28,23,30,28,16,17,19,2022-06-04 00:08:00
22,21,19,29,27,21,34,23,20,25,25,31,28,20,24,25,27,-,22,26,31,24,22,21,20,2022-06-04 00:09:00
24,22,24,33,31,26,28,24,23,27,30,29,26,28,30,33,33,32,28,28,33,30,26,22,27,2022-06-04 00:10:00
31,26,30,33,30,28,28,28,28,27,32,30,26,34,29,35,37,31,30,29,36,32,28,26,31,2022-06-04 00:11:00
32,29,33,39,32,30,37,33,30,37,36,31,33,40,35,35,36,35,36,32,36,38,31,27,34,2022-06-04 00:12:00
33,30,41,41,37,32,38,32,36,39,40,35,36,41,38,40,47,42,38,34,37,39,38,34,38,2022-06-04 00:13:00
35,35,41,42,38,36,45,42,38,39,44,36,36,39,35,41,47,44,35,37,40,44,36,35,36,2022-06-04 00:14:00
37,39,44,52,42,38,44,42,47,45,43,37,44,42,39,43,47,45,40,37,41,49,37,38,40,2022-06-04 00:15:00
41,37,46,51,38,40,53,36,42,44,46,40,37,47,43,44,50,45,46,43,47,52,38,41,45,2022-06-04 00:16:00
45,38,48,47,47,40,41,42,44,44,46,46,46,50,46,45,48,45,46,47,43,59,42,42,44,2022-06-04 00:17:00
41,37,45,45,47,39,48,38,40,38,42,42,43,45,48,45,48,51,38,43,53,49,37,38,40,2022-06-04 00:18:00
43,38,45,47,48,42,48,41,42,39,47,44,46,49,47,46,47,48,44,49,47,45,41,40,43,2022-06-04 00:19:00
43,42,48,50,49,45,52,47,46,41,48,45,40,42,42,46,49,45,45,49,40,45,45,41,41,2022-06-04 00:20:00
40,43,45,49,53,47,44,48,43,43,47,38,43,42,44,45,51,44,44,54,45,44,44,39,44,2022-06-04 00:21:00
42,42,40,50,50,45,44,43,45,41,49,40,45,40,42,46,50,45,43,49,45,46,44,38,43,2022-06-04 00:22:00
37,40,40,45,47,45,47,36,44,40,45,39,43,41,37,43,55,38,41,45,40,43,37,39,40,2022-06-04 00:23:00
36,34,45,42,40,42,41,32,39,38,47,35,35,37,36,41,50,40,38,37,37,36,39,34,41,2022-06-04 00:24:00
