서울 강남구,서울 강동구,서울 강북구,서울 강서구,서울 관악구,서울 광진구,서울 구로구,서울 금천구,서울 노원구,서울 도봉구,서울 동대문구,서울 동작구,서울 마포구,서울 서대문구,서울 서초구,서울 성동구,서울 성북구,서울 송파구,서울 양천구,서울 영등포구,서울 용산구,서울 은평구,서울 종로구,서울 중구,서울 중랑구,일시
17,18,17,18,18,15,14,17,13,14,16,21,15,12,15,16,8,18,17,18,13,-,16,14,16,2022-06-06 00:01:00
13,13,21,17,16,14,11,15,12,11,14,14,13,7,12,16,5,15,13,14,10,8,11,8,12,2022-06-06 00:02:00
9,10,17,11,16,7,11,12,9,10,8,11,9,10,11,13,7,9,12,11,9,8,7,4,9,2022-06-06 00:03:00
7,8,12,13,12,7,8,8,9,9,10,8,9,8,9,9,12,9,7,8,8,22,16,5,9,2022-06-06 00:04:00
8,10,13,20,11,5,6,8,10,8,11,11,12,10,10,11,9,8,17,12,8,18,15,10,8,2022-06-06 00:05:00
12,9,9,10,11,10,10,7,5,4,10,13,14,8,8,13,7,9,15,14,10,6,7,8,10,2022-06-06 00:06:00
8,7,4,5,8,6,12,6,3,3,4,9,6,5,6,7,4,9,8,12,6,3,3,5,4,2022-06-06 00:07:00
4,5,3,5,7,4,7,4,3,3,4,6,4,3,3,3,3,4,6,7,3,14,3,3,3,2022-06-06 00:08:00
6,5,5,7,7,3,5,3,3,3,5,4,8,4,4,6,3,5,4,4,5,14,3,3,4,2022-06-06 00:09:00
6,3,5,7,4,3,6,4,5,3,8,4,4,6,6,10,3,5,3,7,7,8,3,3,7,2022-06-06 00:10:00
5,7,3,7,6,6,5,3,30,3,5,7,4,6,11,11,4,5,3,6,10,17,3,3,3,2022-06-06 00:11:00
4,4,3,9,3,3,5,3,7,7,6,5,8,4,9,5,8,8,3,4,16,10,4,5,3,2022-06-06 00:12:00
4,5,5,15,6,6,10,3,3,7,5,9,7,3,11,9,7,7,6,14,10,11,8,3,13,2022-06-06 00:13:00
8,6,7,17,11,6,7,5,8,5,8,11,10,5,13,15,6,9,7,8,8,8,7,6,6,2022-06-06 00:14:00
4,10,7,10,6,6,11,4,5,4,6,9,6,6,17,9,5,11,10,8,12,3,8,5,4,2022-06-06 00:15:00
3,7,5,10,7,4,7,3,3,4,8,5,7,9,10,10,7,10,7,7,11,8,4,4,7,2022-06-06 00:16:00
7,7,7,11,6,5,7,4,7,4,9,9,6,5,6,10,5,11,10,10,9,11,6,5,5,2022-06-06 00:17:00
6,4,10,8,10,6,8,6,6,5,8,6,8,5,6,8,6,7,11,10,6,6,5,5,7,2022-06-06 00:18:00
7,10,11,11,12,8,8,8,8,3,9,9,5,7,4,9,7,8,10,14,3,-,8,5,11,2022-06-06 00:19:00
7,11,8,9,11,5,6,10,7,6,6,8,9,5,8,7,10,6,9,13,6,3,7,4,9,2022-06-06 00:20:00
8,7,7,9,8,6,10,3,12,4,8,6,7,5,5,5,6,5,7,11,6,4,7,5,7,2022-06-06 00:21:00
5,7,9,17,8,5,6,3,7,3,4,7,11,6,3,3,3,7,7,8,3,5,3,3,7,2022-06-06 00:22:00
4,3,10,9,10,4,6,3,4,3,4,5,7,4,3,4,3,6,6,6,5,4,4,3,6,2022-06-06 00:23:00
3,3,6,6,8,3,4,3,3,3,3,4,5,3,3,4,3,3,5,5,3,3,3,3,3,2022-06-06 00:24:00
