서울 강남구,서울 강동구,서울 강북구,서울 강서구,서울 관악구,서울 광진구,서울 구로구,서울 금천구,서울 노원구,서울 도봉구,서울 동대문구,서울 동작구,서울 마포구,서울 서대문구,서울 서초구,서울 성동구,서울 성북구,서울 송파구,서울 양천구,서울 영등포구,서울 용산구,서울 은평구,서울 종로구,서울 중구,서울 중랑구,일시
9,4,6,13,9,4,10,12,5,13,6,11,5,3,3,6,3,7,9,11,8,6,8,5,7,2022-06-08 00:01:00
7,5,6,9,12,8,7,8,8,8,7,12,4,4,5,6,3,7,11,9,7,6,4,3,7,2022-06-08 00:02:00
8,6,6,11,9,6,6,10,7,5,8,14,9,6,4,9,3,6,13,10,4,4,-,3,5,2022-06-08 00:03:00
10,5,6,10,10,5,6,8,7,6,6,10,6,6,8,9,6,7,7,9,4,3,5,5,6,2022-06-08 00:04:00
13,3,10,10,13,4,9,7,5,5,5,11,9,3,6,9,3,9,9,8,8,3,6,5,7,2022-06-08 00:05:00
9,6,5,13,14,8,10,7,5,3,5,9,8,3,4,9,3,7,8,10,10,3,3,3,7,2022-06-08 00:06:00
9,7,6,10,9,8,11,6,3,5,7,10,8,6,5,8,5,9,8,9,11,5,4,3,9,2022-06-08 00:07:00
9,6,7,10,8,7,9,3,3,3,7,8,8,5,4,9,9,12,9,10,11,9,4,6,6,2022-06-08 00:08:00
11,6,6,14,9,7,6,7,5,9,12,10,10,16,12,11,11,15,10,14,15,12,7,12,8,2022-06-08 00:09:00
12,10,14,14,9,10,13,11,10,10,17,12,17,11,12,14,15,12,12,11,16,17,10,10,9,2022-06-08 00:10:00
11,11,13,16,11,14,16,11,11,13,18,12,18,12,11,17,13,16,17,15,18,14,12,13,16,2022-06-08 00:11:00
17,10,19,20,15,14,15,18,11,16,19,12,18,26,13,21,17,20,18,17,19,23,15,16,16,2022-06-08 00:12:00
21,15,20,22,16,17,17,15,14,17,19,16,17,15,18,21,19,21,-,15,17,27,17,15,15,2022-06-08 00:13:00
19,15,18,25,16,13,20,14,15,20,23,15,21,22,20,21,26,-,-,16,19,41,18,16,22,2022-06-08 00:14:00
18,17,23,31,20,20,28,19,17,21,26,17,22,29,17,20,25,-,16,23,21,54,15,16,20,2022-06-08 00:15:00
21,19,22,36,29,16,31,27,19,25,23,21,52,26,21,21,24,18,37,27,10,44,20,20,18,2022-06-08 00:16:00
22,21,31,35,36,17,43,28,22,26,26,30,-,33,37,24,30,15,33,30,27,48,25,20,24,2022-06-08 00:17:00
25,21,27,33,36,23,44,31,24,35,33,32,29,34,32,28,39,21,32,33,40,50,29,26,26,2022-06-08 00:18:00
31,25,38,25,34,24,40,28,28,37,39,36,29,34,31,30,39,23,-,30,29,32,35,25,30,2022-06-08 00:19:00
32,38,35,18,26,33,28,19,31,29,36,26,23,21,33,36,29,31,41,24,28,32,31,24,38,2022-06-08 00:20:00
25,35,26,17,27,29,22,13,25,25,24,17,14,16,-,24,22,26,22,20,22,22,22,14,25,2022-06-08 00:21:00
21,20,19,17,26,18,23,15,20,18,19,18,18,18,15,21,14,22,22,18,17,18,14,14,17,2022-06-08 00:22:00
22,20,14,19,22,18,23,20,16,12,18,20,20,17,18,20,16,19,20,20,20,16,14,13,18,2022-06-08 00:23:00
25,20,17,19,23,18,19,22,20,21,18,18,19,20,16,19,17,23,20,17,18,14,13,11,17,2022-06-08 00:24:00
