서울 강남구,서울 강동구,서울 강북구,서울 강서구,서울 관악구,서울 광진구,서울 구로구,서울 금천구,서울 노원구,서울 도봉구,서울 동대문구,서울 동작구,서울 마포구,서울 서대문구,서울 서초구,서울 성동구,서울 성북구,서울 송파구,서울 양천구,서울 영등포구,서울 용산구,서울 은평구,서울 종로구,서울 중구,서울 중랑구,일시
20,22,21,17,18,22,19,13,25,28,17,18,17,19,18,20,30,20,20,19,20,18,19,13,18,2022-06-03 00:01:00
20,24,22,20,20,22,19,18,24,21,21,18,18,27,21,21,26,18,20,19,20,20,16,18,22,2022-06-03 00:02:00
22,21,16,23,24,20,19,21,22,20,25,28,24,29,24,24,34,24,19,19,23,23,25,20,26,2022-06-03 00:03:00
29,25,21,22,26,29,27,20,20,18,29,-,24,29,31,30,42,28,21,22,26,26,23,23,27,2022-06-03 00:04:00
28,26,26,24,26,27,27,28,20,25,27,-,24,32,27,27,35,31,23,22,28,33,23,22,24,2022-06-03 00:05:00
23,27,28,24,25,19,28,27,21,27,27,-,26,33,30,27,31,29,25,22,26,33,24,23,22,2022-06-03 00:06:00
23,27,28,28,25,23,32,28,24,28,26,-,24,34,29,25,37,26,28,26,27,32,26,23,23,2022-06-03 00:07:00
24,26,30,29,28,24,26,27,24,32,25,-,30,38,33,29,46,30,29,26,30,-,25,26,25,2022-06-03 00:08:00
28,29,29,30,29,29,37,25,27,39,29,-,34,40,36,33,47,35,26,28,38,46,29,27,27,2022-06-03 00:09:00
30,30,33,34,31,35,43,29,30,42,34,-,38,42,48,40,48,36,29,32,36,43,29,28,35,2022-06-03 00:10:00
36,30,41,37,37,33,50,29,30,39,45,49,36,41,47,42,52,41,39,36,39,47,32,30,36,2022-06-03 00:11:00
39,32,38,41,36,34,42,37,34,37,41,50,40,46,54,46,48,40,38,37,44,47,34,35,36,2022-06-03 00:12:00
37,30,38,44,36,35,55,40,33,34,38,41,38,47,49,46,-,37,37,-,46,43,-,33,36,2022-06-03 00:13:00
37,32,34,47,40,37,58,38,33,32,37,-,42,36,-,38,50,39,47,32,43,40,-,31,35,2022-06-03 00:14:00
37,36,37,54,51,40,69,53,25,40,40,39,43,50,-,41,40,43,52,49,44,53,19,37,41,2022-06-03 00:15:00
41,37,46,70,65,42,90,59,34,46,53,53,55,-,59,50,63,52,65,61,56,84,50,47,42,2022-06-03 00:16:00
66,53,63,68,69,62,90,65,51,73,71,68,65,75,70,71,77,76,65,60,71,81,69,-,59,2022-06-03 00:17:00
70,69,69,66,71,71,77,67,72,79,78,73,64,71,83,74,83,79,70,71,71,80,67,-,73,2022-06-03 00:18:00
66,74,66,50,63,72,74,51,71,70,74,64,48,61,81,76,79,66,56,59,69,63,67,51,72,2022-06-03 00:19:00
60,71,65,33,53,64,58,40,67,63,61,52,34,42,64,61,59,56,37,42,48,63,55,40,68,2022-06-03 00:20:00
47,58,54,27,40,49,69,29,56,54,49,37,31,49,41,47,47,52,25,28,43,53,45,31,56,2022-06-03 00:21:00
44,48,49,21,37,45,29,25,60,55,47,36,31,50,36,42,47,48,24,25,43,51,42,33,49,2022-06-03 00:22:00
38,45,-,21,33,45,27,26,60,55,47,32,27,37,34,43,51,48,21,24,39,44,45,32,46,2022-06-03 00:23:00
42,45,57,20,34,43,28,27,54,37,49,33,25,40,36,42,59,45,23,24,43,33,38,35,48,2022-06-03 00:24:00
