서울 강남구,서울 강동구,서울 강북구,서울 강서구,서울 관악구,서울 광진구,서울 구로구,서울 금천구,서울 노원구,서울 도봉구,서울 동대문구,서울 동작구,서울 마포구,서울 서대문구,서울 서초구,서울 성동구,서울 성북구,서울 송파구,서울 양천구,서울 영등포구,서울 용산구,서울 은평구,서울 종로구,서울 중구,서울 중랑구,일시
23,25,21,23,24,24,19,18,24,16,20,23,18,14,20,26,23,23,19,19,25,17,20,17,26,2022-06-02 00:01:00
20,24,16,22,23,27,24,19,23,16,22,19,19,17,17,25,22,21,20,19,23,16,20,14,29,2022-06-02 00:02:00
20,20,20,25,22,22,26,18,19,17,23,18,22,12,17,21,16,22,21,20,21,20,20,17,23,2022-06-02 00:03:00
21,22,20,26,26,22,26,21,20,22,22,19,21,20,17,22,27,21,24,24,19,25,21,18,21,2022-06-02 00:04:00
20,21,21,26,23,22,24,20,18,21,22,20,24,28,18,22,30,23,26,19,22,28,21,19,24,2022-06-02 00:05:00
19,21,21,29,23,20,29,25,23,23,26,25,28,31,23,24,33,21,29,25,21,31,22,21,22,2022-06-02 00:06:00
23,20,22,27,22,23,32,22,26,27,28,28,25,30,23,25,35,26,26,24,28,26,26,25,23,2022-06-02 00:07:00
23,25,26,23,24,26,24,22,26,32,25,24,23,20,27,29,32,30,20,23,30,27,24,22,26,2022-06-02 00:08:00
25,24,25,25,23,28,26,24,27,28,28,22,27,22,32,33,30,32,25,26,34,31,27,20,27,2022-06-02 00:09:00
28,25,27,25,24,28,36,24,26,31,33,27,27,35,43,33,37,33,28,30,34,31,26,23,34,2022-06-02 00:10:00
32,28,33,32,28,33,32,28,29,37,38,27,30,37,31,36,46,34,26,31,39,46,35,29,31,2022-06-02 00:11:00
33,33,35,35,35,36,38,32,37,41,37,35,31,36,38,37,42,37,37,34,40,55,33,32,37,2022-06-02 00:12:00
38,36,38,41,38,41,44,33,38,42,40,39,35,46,42,-,49,44,37,36,-,52,34,33,39,2022-06-02 00:13:00
43,39,38,33,33,42,63,29,36,42,46,37,37,38,50,-,52,48,32,33,-,52,39,34,40,2022-06-02 00:14:00
37,40,33,28,33,43,41,24,39,34,39,31,25,36,53,22,42,50,29,27,14,44,36,29,45,2022-06-02 00:15:00
33,36,29,27,31,37,34,24,33,34,33,-,27,34,43,44,41,43,28,27,38,47,29,25,37,2022-06-02 00:16:00
29,34,30,24,28,32,32,23,30,29,34,-,23,34,40,36,37,39,29,25,33,42,27,23,33,2022-06-02 00:17:00
30,34,29,25,29,29,36,23,31,31,37,37,22,27,30,34,34,37,28,29,29,32,-,24,31,2022-06-02 00:18:00
30,29,30,27,30,30,33,20,30,31,29,40,26,23,33,32,31,31,27,24,29,29,47,23,32,2022-06-02 00:19:00
27,29,30,23,32,30,30,20,30,29,29,29,20,25,29,28,29,28,28,26,27,29,26,21,29,2022-06-02 00:20:00
25,27,27,21,29,27,23,19,29,19,26,21,20,25,25,26,29,24,24,22,25,23,24,17,28,2022-06-02 00:21:00
27,27,23,16,26,25,25,18,26,20,24,20,19,19,25,25,28,28,20,16,25,21,20,15,28,2022-06-02 00:22:00
24,26,24,18,27,21,25,16,26,17,22,18,18,11,24,24,25,26,17,17,21,25,19,16,25,2022-06-02 00:23:00
23,21,22,18,26,22,25,16,25,24,16,19,19,13,25,20,25,24,20,17,20,20,16,14,19,2022-06-02 00:24:00
