서울 강남구,서울 강동구,서울 강북구,서울 강서구,서울 관악구,서울 광진구,서울 구로구,서울 금천구,서울 노원구,서울 도봉구,서울 동대문구,서울 동작구,서울 마포구,서울 서대문구,서울 서초구,서울 성동구,서울 성북구,서울 송파구,서울 양천구,서울 영등포구,서울 용산구,서울 은평구,서울 종로구,서울 중구,서울 중랑구,일시
21,26,21,26,31,30,29,24,23,20,25,25,25,17,24,24,29,25,22,21,28,24,24,19,22,2022-06-01 00:01:00
22,26,20,26,30,27,34,19,21,17,30,23,21,23,20,24,32,24,22,24,25,17,23,23,23,2022-06-01 00:02:00
22,22,20,25,27,25,25,20,22,18,31,21,23,15,19,23,27,28,22,22,27,18,23,20,24,2022-06-01 00:03:00
23,21,22,25,23,25,27,20,25,20,28,21,23,23,16,26,26,26,22,23,26,18,23,20,22,2022-06-01 00:04:00
23,19,24,24,23,25,31,20,24,25,27,22,21,14,22,26,24,27,23,25,25,24,24,19,21,2022-06-01 00:05:00
24,21,24,27,28,22,29,20,25,21,24,20,26,20,19,25,25,25,22,24,29,24,22,19,20,2022-06-01 00:06:00
21,20,20,31,26,23,34,20,23,22,26,23,24,21,25,25,28,24,22,22,30,29,22,21,18,2022-06-01 00:07:00
22,24,22,30,22,22,34,18,19,26,24,20,23,25,23,23,32,27,22,24,33,28,20,-,22,2022-06-01 00:08:00
23,33,32,27,19,25,29,21,23,31,27,23,26,22,22,25,32,25,25,24,29,27,24,31,26,2022-06-01 00:09:00
19,24,32,28,23,23,26,22,27,24,29,25,26,21,23,25,28,27,24,26,28,29,24,21,26,2022-06-01 00:10:00
21,21,28,26,24,22,28,18,23,21,25,23,26,22,33,26,34,27,23,25,23,28,19,17,25,2022-06-01 00:11:00
23,19,24,27,25,24,29,21,24,23,26,23,21,27,44,30,34,30,26,27,28,37,23,21,24,2022-06-01 00:12:00
19,19,29,25,22,25,29,21,22,22,28,20,20,22,35,25,28,26,21,20,25,54,22,19,25,2022-06-01 00:13:00
18,17,26,25,22,20,17,19,21,17,21,18,18,21,37,26,25,29,20,19,23,53,17,17,20,2022-06-01 00:14:00
20,22,23,20,20,20,16,15,19,21,20,19,17,17,29,26,24,26,15,17,25,31,19,13,19,2022-06-01 00:15:00
15,23,31,22,14,17,21,10,17,23,18,12,19,22,40,22,25,28,16,14,18,-,16,13,16,2022-06-01 00:16:00
14,17,26,21,20,13,19,12,21,19,24,14,23,19,23,21,23,23,21,19,21,32,20,19,20,2022-06-01 00:17:00
21,19,22,21,21,19,20,18,21,15,24,16,23,20,25,25,18,21,23,23,23,24,19,17,22,2022-06-01 00:18:00
22,23,25,21,28,22,22,19,23,14,26,18,18,27,17,28,28,18,23,20,24,26,23,18,24,2022-06-01 00:19:00
32,27,24,27,29,25,24,22,26,20,26,20,24,21,25,27,29,24,26,23,23,26,25,17,27,2022-06-01 00:20:00
27,26,20,22,28,25,24,22,26,19,26,20,27,24,18,26,20,25,21,18,25,22,27,18,25,2022-06-01 00:21:00
20,24,22,22,27,25,18,18,23,19,26,19,24,23,22,24,23,22,24,19,23,18,20,17,25,2022-06-01 00:22:00
23,25,22,25,27,25,16,15,26,25,25,20,21,17,20,27,27,23,24,24,24,-,23,14,24,2022-06-01 00:23:00
22,25,21,26,22,25,22,16,26,24,22,19,20,19,18,25,25,22,21,26,21,19,21,17,24,2022-06-01 00:24:00
