지역,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.1,2019.11,2019.12,미세먼지(PM-10) 배출량 평균
강원도 강릉시,41.0,42.0,51.0,36.0,47.0,32.0,29.0,28.0,25.0,29.0,0.0,30.0,4272.476143874345
강원도 고성군,45.0,41.0,49.0,35.0,43.0,25.0,22.0,24.0,23.0,27.0,28.0,27.0,2971.059849402985
강원도 동해시,41.0,43.0,49.0,38.0,45.0,30.0,26.0,25.0,19.0,25.0,30.0,24.0,3948.613259435028
강원도 삼척시,40.0,43.0,48.0,35.0,41.0,30.0,25.0,24.0,20.0,25.0,26.0,25.0,3862.289280067568
강원도 속초시,49.0,46.0,53.0,43.0,48.0,29.0,25.0,28.0,25.0,32.0,31.0,31.0,1214.162600370371
강원도 양구군,60.0,47.0,57.0,40.0,45.0,27.0,23.0,25.0,19.0,25.0,35.0,37.0,1535.3842502459015
강원도 양양군,41.0,38.0,45.0,35.0,43.0,26.0,22.0,22.0,17.0,25.0,27.0,26.0,2757.56890379562
강원도 영월군,66.0,58.0,65.0,41.0,46.0,30.0,28.0,30.0,21.0,28.0,37.0,37.0,5927.230996891893
강원도 원주시,43.8,39.0,42.2,26.6,31.4,20.8,18.6,17.8,12.6,16.6,23.2,23.8,6002.645831798944
강원도 인제군,0.0,0.0,0.0,32.0,43.0,25.0,22.0,24.0,15.0,21.0,28.0,31.0,2928.7406724
강원도 정선군,49.0,44.0,48.0,32.0,39.0,26.0,27.0,26.0,20.0,29.0,37.0,41.0,3117.241580647482
강원도 철원군,67.0,51.0,62.0,39.0,49.0,27.0,26.0,20.0,20.0,29.0,39.0,40.0,3361.3300510294125
강원도 춘천시,74.5,62.0,66.5,39.5,48.5,30.5,25.5,27.0,20.0,31.0,45.0,47.0,3486.0569780116957
강원도 태백시,0.0,41.0,50.0,36.0,42.0,28.0,31.0,31.0,25.0,31.0,38.0,36.0,643.920349527559
강원도 평창군,62.0,56.0,65.0,43.0,47.0,33.0,29.0,29.0,24.0,31.0,40.0,43.0,3255.8962922818782
강원도 홍천군,0.0,59.0,64.0,33.0,38.0,21.0,17.0,23.0,20.0,29.0,43.0,51.0,4917.370336666667
강원도 화천군,0.0,46.0,56.0,35.0,40.0,25.0,23.0,24.0,19.0,23.0,30.0,33.0,1787.0630356000006
강원도 횡성군,66.0,57.0,75.0,42.0,51.0,32.0,25.0,26.0,20.0,28.0,41.0,46.0,5416.26315786207
경기도 가평군,58.0,45.0,50.0,28.0,32.0,20.0,19.0,20.0,16.0,26.0,35.0,38.0,2614.367636516129
경기도 고양시,68.0,55.25,69.25,43.75,56.25,31.25,29.25,26.0,26.25,37.5,46.75,44.0,3304.3922444219043
경기도 과천시,66.0,59.0,67.0,42.5,56.5,33.5,32.0,31.0,26.0,33.0,44.5,43.5,995.1022992424246
경기도 광명시,73.5,62.0,76.0,47.0,60.0,34.0,32.0,31.5,28.5,40.5,54.5,42.0,1590.4076928301893
경기도 광주시,79.0,69.0,80.0,46.0,56.0,32.0,27.0,28.0,22.0,32.0,47.0,57.0,5977.818846263737
경기도 구리시,77.0,61.5,66.5,40.5,52.0,30.5,30.0,29.0,23.5,34.5,46.0,48.0,1414.622126071429
경기도 군포시,72.0,63.0,78.0,56.0,67.0,41.5,44.0,31.0,24.0,35.5,43.0,43.5,1285.1231936486488
경기도 김포시,74.66666667,57.66666667,74.66666667,46.66666667,58.33333333,27.66666667,27.33333333,24.33333333,28.0,41.66666667,49.0,48.66666667,6330.041188085105
경기도 남양주시,69.25,58.5,67.0,41.25,53.25,31.5,30.25,28.25,21.0,31.75,43.75,43.75,8232.775048202246
경기도 동두천시,74.0,57.0,68.0,42.0,51.0,28.0,24.0,25.0,21.0,33.0,47.0,48.0,1181.5628191071437
경기도 부천시,79.0,66.25,82.25,57.0,64.0,41.0,37.0,36.0,36.0,52.5,57.25,51.75,5678.387485
경기도 성남시,67.0,57.33333333,67.16666667,39.66666667,51.33333333,30.5,29.16666667,29.66666667,23.83333333,33.33333333,58.83333333,35.5,2726.3371661297533
경기도 수원시,56.42857143,49.42857143,59.42857143,41.28571429,52.57142857,29.42857143,30.57142857,30.14285714,24.42857143,32.28571429,42.0,42.57142857,2210.767615979898
경기도 시흥시,79.0,68.0,84.33333333,54.33333333,67.33333333,36.33333333,33.33333333,33.33333333,34.0,46.33333333,53.33333333,52.33333333,5011.277987386364
경기도 안산시,69.0,60.28571429,71.14285714,42.57142857,52.42857143,28.57142857,28.71428571,30.57142857,27.42857143,36.28571429,43.57142857,43.14285714,4074.4020119060806
