구분(4),구분(1)_x,구분(2)_x,구분(3)_x,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,구분(1)_y,구분(2)_y,구분(3)_y,2011.01,2011.02,2011.03,2011.04,2011.05,2011.06,2011.07,2011.08,2011.09,2011.10,2011.11,2011.12
공단동,도시대기,경북,구미,67,64,70,49,52,37,29,31,28,33,50,49,도시대기,경북,구미,26,46,55,54,83,39,22,24,31,41,37,35
공주,도시대기,충남,공주,60,57,64,41,52,37,26,24,22,31,39,40,,,,,,,,,,,,,,,
공항대로,도로변대기,서울,서울,58,60,76,45,53,28**,32*,31,28,37,47,53**,도로변대기,서울,서울,-,-,-,71,90,55,35,34,37,56,50,60
과천동,도시대기,경기,과천,63,59,63,41,53,31,31,31,25,29,42,42,도시대기,경기,과천,53,93,63,63,80,54,32,32,32,45,42,54
관악구,도시대기,서울,관악구,72,63,76,48,62,35,26,24,-,45**,44,43,,,,,,,,,,,,,,,
관인면,교외대기,경기,포천,65,52,64,39,49,29,30,31,24,27,40,42,교외대기,경기,포천,52,75,70,60,72,54,32,32,34,41,-,-
광교동,도시대기,경기,수원,64,58,70,42,52,32,33,35,27,32,39,41,,,,,,,,,,,,,,,
광무동,,,,,,,,,,,,,,,,도시대기,전남,여수,30,54,44,45,71,35,28,26,25,34,31,33
광복동,도시대기,부산,중구,51,53,55,41,51,34,28,32,27,26,34,30,도시대기,부산,중구,38,57,57,53,74,49,38,32,29,41,39,38
광안동,도시대기,부산,수영구,44,44,47,41,51,35,29,32,25,24,34,31,도시대기,부산,수영구,24,40,41,42,61,33,26,22,20,27,24,25
광양읍,도시대기,전남,광양,36,44,40,27,33,26,19,22,18,19,30,26,도시대기,전남,광양,39,58,46,53,65,47,39,35,31,37,36,36
광적면,,,,,,,,,,,,,,,,도시대기,경기,양주,73,87,76,70,81,61,45,49,57,83,75,103
광진구,도시대기,서울,광진구,65,55,69,43,57,32*,27,28,24,34,40,37,,,,,,,,,,,,,,,
괴산읍,도시대기,충북,괴산,-,57,63,36,41,30,20,27,20,32,47,40,,,,,,,,,,,,,,,
교문동,도시대기,경기,구리,78,63,67,39,54,33**,33,29,24,35,45,45,도시대기,경기,구리,51,94,81,78,100,65,36,40,42,46,44,49
구례읍,도시대기,전남,구례,-,-,-,-,-,-,22,29,24,27,36,33,,,,,,,,,,,,,,,
구로구,도시대기,서울,구로구,67,56,72,46,61,31,19,22,19,27,42,40,,,,,,,,,,,,,,,
구로동,,,,,,,,,,,,,,,,도시대기,서울,구로구,44,78,69,57,74,44,28,29,29,49,41,45
구성동,도시대기,대전,유성구,64,61,70,42,45,26,18,19*,18,27,38,38,도시대기,대전,유성구,40,68,61,56,66,45,37,32,29,41,40,45
구월동,도시대기,인천,남동구,70,62,74,49,57,34,31,30,29,38,44,46,도시대기,인천,남동구,45,76,80,61,86,47,32,34,38,51,46,48
구의동,,,,,,,,,,,,,,,,도시대기,서울,광진구,47,77,64,56,72,44,27,26,29,42,39,52
금곡동,도시대기,경기,남양주,68,60,64,40,50,30,31,31,22,31,43,42,도시대기,경기,남양주,54,80,74,63,75,46,30,29,30,44,41,57
금산읍,도시대기,충남,금산,55,50,58,36,39,30,18,21,24,36,51,49,,,,,,,,,,,,,,,
금암동,도로변대기,전북,전주,60,73,73,48,49,41,26,29*,30,39,51,-,도로변대기,전북,전주,35,65,60,51,65,45,23,22,22,33,37,31
금암로(신장동),도로변대기,경기,오산,-,-,-,-,-,30,30,32,28,33,42,45,,,,,,,,,,,,,,,
금왕,교외대기,충북,음성,76,66,73,45,51,36,32,31,29,33,50*,50,,,,,,,,,,,,,,,
금천구,도시대기,서울,금천구,64,57,66,38,45,25,25,24,19,28,35,36,,,,,,,,,,,,,,,
금촌동,도시대기,경기,파주,76,60,73,46,61,31,30,30,29,45,53,52,도시대기,경기,파주,61,82,88,75,93,52,36,35,43,59,54,57
기장읍,도시대기,부산,기장군,36,41,43,34,41,27,23,26,22,27,30,26,도시대기,부산,기장군,24,41,44,42,59,32,25,21,22,28,27,26
기흥,도시대기,경기,용인,65,-,55**,42,54,30,26,27,24,33,46,48,도시대기,경기,용인,51,84,76,62,78,51,30,28,34,51,44,55
길동,,,,,,,,,,,,,,,,도로변대기,서울,서울,48,83,75,67,76,50,32,31,32,45,42,53
길상,도시대기,인천,강화군,-,-,-,-,-,-,-,-,-,45*,41,39,,,,,,,,,,,,,,,
길음동,,,,,,,,,,,,,,,,도시대기,서울,성북구,39,63,56,49,67,39,25,24,27,40,36,43
김량장동,도시대기,경기,용인,69,60,66,45,56,34,28,28,24,28,43,46,도시대기,경기,용인,56,89,77,73,79,56,35,35,39,57,53,59
나불리,도시대기,전남,영암,47,49,59,37,46,31,33,36,28,35,42,41,도시대기,전남,영암,33,64,52,56,70,49,38,36,35,41,41,40
난지도리,,,,,,,,,,,,,,,,도시대기,충남,당진,36,66,59,54,78,46,32,35,36,47,44,35
남가좌동,,,,,,,,,,,,,,,,도시대기,서울,서대문구,47,83,65,56,72,43,26,25,27,40,35,44
남문동,도시대기,강원,원주,80,-,-,-,-,-,-,-,-,-,-,-,도시대기,경북,안동,52,75,69,54,63,37,24,19,22,37,40,46
남문동,도시대기,전북,임실,56,-,-,-,-,-,-,-,-,-,-,-,도시대기,경북,안동,52,75,69,54,63,37,24,19,22,37,40,46
남산동,,,,,,,,,,,,,,,,도로변대기,대구,대구,41,68,61,53,71,49,36,32,31,46,52,46
남상면,교외대기,경남,거창,51,51,56,37,38,25,14*,-,22**,28,33,38,교외대기,경남,거창,37,63,60,55,76,47,33,33,30,38,42,40
남양동,도시대기,강원,삼척,40,43,48,35,41,30,25,24,20,25,26,25,도시대기,강원,삼척,41,56,66,61,66,38,28,26,28,39,43,37
남양읍,도시대기,경기,화성,73,62,79,50,56,29,30,28,26,40,48,44,도시대기,경기,화성,57,97,90,86,92,67,38,34,36,49,40,61
남원읍,도시대기,제주,서귀포,-,-,-,-,-,-,-,-,-,-,-,22**,,,,,,,,,,,,,,,
남중동,도시대기,전북,익산,75,72,78,51,58,44,30,31,28,37,45,27**,도시대기,전북,익산,27,60,61,64,72,60,34,30,-,59,56,52
남해읍,도시대기,경남,남해,45,50,51,38,44,35,25,29,27,28,35,30,,,,,,,,,,,,,,,
내동,도시대기,경기,부천,91,78,90,63,68,43,41,37,41,65*,68,59,도시대기,경기,부천,65,102,88,76,99,72,38,37,43,60,53,58
내부순환로,,,,,,,,,,,,,,,,도로변대기,서울,서울,-,-,-,62,78,47,33,32,-,45,42,49
내일동,도시대기,경남,밀양,49,50,50,40,46,37,30,30,23,26,37,33,,,,,,,,,,,,,,,
내포,도시대기,충남,홍성,-,53,60,34,44,27,29,31,27,38,40,36,,,,,,,,,,,,,,,
노원구,도시대기,서울,노원구,68,58,67,37,48,26,27,26,21,28,35,38,,,,,,,,,,,,,,,
노원동,도시대기,대구,북구,61,56,59,46,52,36,29,29,27,31,43,42,도시대기,대구,북구,57,87,76,65,78,60,48,45,45,58,64,59
노은동,도시대기,대전,유성구,81,72,77,43,49,27,17,23,23,25,46,46,도시대기,대전,유성구,-,-,-,-,-,-,-,-,24,43,43,46
노형로,도로변대기,제주,제주,-,-,-,-,-,-,-,-,-,-,-,31,,,,,,,,,,,,,,,
