도시대기,부산광역시,금정구,부곡동,0.022,0.024,0.032,0.042,0.041,0.04,0.029,0.028,0.034,0.033,0.022,0.021
도시대기,부산광역시,금정구,회동동,-,-,-,-,-,-,-,-,-,0.026*,0.02,0.019
도시대기,부산광역시,해운대구,좌동,0.027,0.029,0.039,0.047,0.04,0.038,0.028,0.03,0.036,0.034,0.024,0.024
도시대기,부산광역시,해운대구,재송동,-,-,0.035,0.044,0.041,0.039,0.029,0.026,0.036,0.034,0.022,0.02
도시대기,부산광역시,강서구,대저동,0.019,0.022,0.03,0.04,0.039,0.042,0.026,0.022,0.028,0.026,0.019,0.018
도시대기,부산광역시,강서구,녹산동,0.024,0.026,0.028,0.037,0.034,0.031,0.021,0.019,0.028,0.03,0.02,0.02
도시대기,부산광역시,기장군,기장읍,0.029,0.032,0.038,0.048,0.046,0.043,0.032,0.03,0.039,0.039,0.029,0.029
도시대기,부산광역시,기장군,용수리,0.027,0.03,0.038,0.047,0.044,0.044,0.031,0.031,0.037,0.038,0.028,0.027
도시대기,부산광역시,수영구,광안동,0.026,0.029,0.037,0.05,0.046,0.044,0.031,0.029,0.039,0.036,0.024,0.022
도시대기,부산광역시,동래구,명장동,0.024,0.027,0.035,0.044,0.042,0.045*,0.031,0.028,0.037,0.034,0.023,0.02
도시대기,부산광역시,동구,수정동,0.031,0.033,0.04,0.051,0.042,0.04,0.027,0.022,0.039,0.04,0.028,0.028
도시대기,부산광역시,서구,대신동,0.025,0.03,0.039,0.049,0.043,0.042,0.027,0.027,0.039,0.04,0.026,0.025
도시대기,대구광역시,중구,수창동,0.019,0.025,0.032,0.044,0.043,0.049,0.031,0.026,0.033,0.027,0.015,0.014
도시대기,대구광역시,서구,이현동,0.017,0.022,0.029,0.038,0.038,0.043,0.028,0.025,0.028,0.022,0.015,0.016
도시대기,대구광역시,남구,대명동,0.021,0.024,0.029,0.038,0.038,0.042,0.025,0.022,0.027,0.024,0.019,0.018
