구분(1),구분(2),구분(3),구분(4),2010.01,2010.02,2010.03,2010.04,2010.05,2010.06,2010.07,2010.08,2010.09,2010.10,2010.11,2010.12,구분(1),구분(2),구분(3),구분(4),2011.01,2011.02,2011.03,2011.04,2011.05,2011.06,2011.07,2011.08,2011.09,2011.10,2011.11,2011.12,구분(1),구분(2),구분(3),구분(4),2012.01,2012.02,2012.03,2012.04,2012.05,2012.06,2012.07,2012.08,2012.09,2012.10,2012.11,2012.12,구분(1),구분(2),구분(3),구분(4),2013.01,2013.02,2013.03,2013.04,2013.05,2013.06,2013.07,2013.08,2013.09,2013.10,2013.11,2013.12,구분(1),구분(2),구분(3),구분(4),2014.01,2014.02,2014.03,2014.04,2014.05,2014.06,2014.07,2014.08,2014.09,2014.10,2014.11,2014.12,구분(1),구분(2),구분(3),구분(4),2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.10,2015.11,2015.12,구분(1),구분(2),구분(3),구분(4),2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.10,2016.11,2016.12,구분(1),구분(2),구분(3),구분(4),2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12,구분(1),구분(2),구분(3),구분(4),2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,구분(1),구분(2),구분(3),구분(4),2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,구분(1),구분(2),구분(3),구분(4),2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12
도시대기,서울,중구,서소문동,58,50,65,51,57,48,30,31,25,40,70,63,도시대기,서울,중구,서소문동,43,72,65,54,74,44,28,26,30,42,38,46,도시대기,서울,중구,서소문동,60,50,44,54,50,36,24,19,24,30,38,37,도시대기,서울,중구,서소문동,56,39,49,51,56,40,35,36,28,30,43,54.0,도시대기,서울,중구,서소문동,57,57,61,57,63,38,39.0,29.0,29.0,34,43,43,도시대기,서울,중구,서소문동,47,85,72,46,45,34,30,34,26,43,31,45,도시대기,서울,중구,중구,48,44,58,69,56,45,34,37,42,30**,51,47,도시대기,서울,중구,중구,51,44,57,51,54,33,31,20,31,28,40,45,도시대기,서울,중구,중구,45,45,45,43,38,34,25,23,18,26,49,42,도시대기,서울,중구,중구,60,53,62,35,44,23,26,24,20,27,36,40,도시대기,서울,중구,중구,41,40,41,39,32,33,20,23,21,40,50,49
도시대기,서울,종로구,효제동,59,50,57,49,56,56,42,39,31,44,75,44,도시대기,서울,종로구,효제동,42,71,54,58,72,42,27,26,29,43,38,47,도시대기,서울,종로구,효제동,61,53,47,52,53,40,28,22,27,34,43,39,도시대기,서울,종로구,효제동,62,44,56,54,58,41,36,36,29,30,42,51.0,도시대기,서울,종로구,효제동,52,52,57,54,59,36,36.0,27.0,27.0,37,50,48,도시대기,서울,종로구,효제동,54,98,79,49,52,42,35,36,28,44,33,49,도시대기,서울,종로구,종로구,50,46,63,67,53,44,30,31,32*,37,50,48,도시대기,서울,종로구,종로구,50,42,55,50,55,35,31,20,28,27,41,45,도시대기,서울,종로구,종로구,45,46,46,44,36,31,23,20,18,25,49,41,도시대기,서울,종로구,종로구,60,51,61,35,44,24,25,24,20,27,37,42,도시대기,서울,종로구,종로구,43,42,43,42,34,36,22,23,21,36,44,44
도시대기,서울,중랑구,면목동,60,48,63,49,55,50,31,32,24,41,75,66,도시대기,서울,중랑구,면목동,46,79,72,60,74,43,28,27,30,41,37,48,도시대기,서울,중랑구,면목동,61,49,45,53,51,41,29,22,27,34,44,47,도시대기,서울,중랑구,면목동,70,47,61,53,54,39,34,35,27,27,41,56.0,도시대기,서울,중랑구,면목동,57,57,65,62,65,39,39.0,30.0,28.0,34,46,44,도시대기,서울,중랑구,면목동,49,88,73,47,46,33,29,32,26,43,32,47,도시대기,서울,중랑구,중랑구,51,48,64,77,60,45,34,36,39,40,57,50,도시대기,서울,중랑구,중랑구,57,49,62,59,70,43,36,21,29,26,37,50,도시대기,서울,중랑구,중랑구,55,49,48,46,35,29,20,18,15,22,45,37,도시대기,서울,중랑구,중랑구,58,51,60,32,42,22,22,21,14*,45**,40,42,도시대기,서울,중랑구,중랑구,42,41,45,43,34,38,22,25,19,32,40,42
도시대기,서울,동대문구,용두동,63,52,65,51,58,53,33,33,27,44,76,68,도시대기,서울,동대문구,용두동,46,78,70,58,255,42,27,28,31,47,42,50,도시대기,서울,동대문구,용두동,63,54,49,54,53,41,28,22,27,34,44,43,도시대기,서울,동대문구,용두동,66,46,57,54,56,40,35,35,29,30,42,57.0,도시대기,서울,동대문구,용두동,57,57,64,60,64,38,38.0,29.0,28.0,33,43,42,도시대기,서울,동대문구,용두동,48,82,70,44,44,32,27,31,27,46,34,49,도시대기,서울,동대문구,동대문구,52,48,66,76,60,45,32,34,37,38,54,52,도시대기,서울,동대문구,동대문구,58,50,64,51,56,34,28,22,35,31,42,58,도시대기,서울,동대문구,동대문구,55,50,49,46,37,30,21,17,15,24,48,40,도시대기,서울,동대문구,동대문구,61,54,63,33,42,22,22,21,16*,43**,42,43,도시대기,서울,동대문구,동대문구,39,39,40,39,31,34,20,23,19,30,38,38
도시대기,서울,은평구,불광동,52,46,60,48,56,48,32,31,23,36,68,62,도시대기,서울,은평구,불광동,44,72,68,56,74,45,28,26,28,40,35,46,도시대기,서울,은평구,불광동,57,46,44,48,51,39,26,21,26,32,41,40,도시대기,서울,은평구,불광동,59,43,53,52,56,39,34,36,28,27,41,54.0,도시대기,서울,은평구,불광동,56,57,60,56,62,37,39.0,29.0,29.0,29,39,53**,도시대기,서울,은평구,불광동,51,88,70,43,43,32,29,33,28,45,33,46,도시대기,서울,은평구,은평구,47,43,63,69,55,47,33,31,38,39,52,47,도시대기,서울,은평구,은평구,53,43,61,60,72,45,33,19,29,25,39,50,도시대기,서울,은평구,은평구,51,55,53,51,47,36,23,24,22,29,54,42,도시대기,서울,은평구,은평구,64,57,70,44,57,31,26*,26,22,29,37,40,도시대기,서울,은평구,은평구,39,38,46,47,37,37,19,21,18,32,38,39
도시대기,서울,마포구,대흥동,63,54,67,52,59,52,32,31,26,43,77,71,도시대기,서울,마포구,대흥동,50,83,71,58,79,47,29,27,31,45,41,50,도시대기,서울,마포구,대흥동,66,55,48,53,53,39,27,21,27,34,44,43,도시대기,서울,마포구,대흥동,68,47,58,56,60,42,35,37,30,31,45,59.0,도시대기,서울,마포구,대흥동,61,60,61,62,68,40,40.0,30.0,31.0,35,46,45,도시대기,서울,마포구,대흥동,52,88,75,48,45,34,31,35,26,42,33,46,도시대기,서울,마포구,마포구,41,37,63,68,56,48,35,36,37,38,49,45,도시대기,서울,마포구,마포구,51,45,62,55,59,37,34,19,29,25,33,45,도시대기,서울,마포구,마포구,52,53,56,57,48,42,21,20,23,35,63,50,도시대기,서울,마포구,마포구,73,61,77,50,65,36,25,23,16**,43**,41,40,도시대기,서울,마포구,마포구,41,37,42,41,32,34,20,22,19,31,38,36
도시대기,서울,영등포구,당산동,59,51,66,56,62,52,31,31,26,44,76,68,도시대기,서울,영등포구,당산동,47,80,71,59,79,46,29,27,31,46,40,47,도시대기,서울,영등포구,당산동,62,51,52,55,57,42,29,23,31,36,47,46,도시대기,서울,영등포구,당산동,68,49,58,53,56,42,34,36,30,30,44,56.0,도시대기,서울,영등포구,당산동,59,59,60,58,65,40,40.0,30.0,30.0,32,43,42,도시대기,서울,영등포구,당산동,49,85,79,51,50,38,31,35,30,35**,38,55,도시대기,서울,영등포구,영등포구,58,52,79,73,67,54,38,41,44,45,59,50,도시대기,서울,영등포구,영등포구,53,49,70,62,71,46,37,26,41,36,48,54,도시대기,서울,영등포구,영등포구,57,60,59,58,53,48,30,31,31,41,54,47,도시대기,서울,영등포구,영등포구,70,60,76,52,64,37,26,24,22,30,36,35,도시대기,서울,영등포구,영등포구,41,39,42,40,32,36,22,24,20,33,41,39
도시대기,서울,동작구,사당동,56,47,52,45,54,58,37,37,26,40,66,61,도시대기,서울,동작구,사당동,43,74,60,56,72,47,31,25,27,39,36,41,도시대기,서울,동작구,사당동,51,46,48,51,49,41,32,27,32,37,49,48,도시대기,서울,동작구,사당동,66,43,52,50,52,39,32,32,24,26,36,46.0,도시대기,서울,동작구,사당동,49,51,51,51,59,38,35.0,28.0,28.0,33,45,64**,도시대기,서울,동작구,사당동,48,80,67,37,41,33,26,37,28,46,36,43,도시대기,서울,동작구,동작구,44,38,61,69,51,41,28,29,35*,34,46,43,도시대기,서울,동작구,동작구,47,41,54,49,52,38,37,24,33,32,45,51,도시대기,서울,동작구,동작구,52,53,50,47,42,37,28,25,21,29,53,44,도시대기,서울,동작구,동작구,64,59,68,39,48,29,30,30,29,35,44,46,도시대기,서울,동작구,동작구,50,48,51,49,39,39,25,27,24,38,44,44
도시대기,서울,관악구,신림동,64,56,68,55,63,56,34,34,29,46,80,71,도시대기,서울,관악구,신림동,47,82,71,59,74,47,30,30,29,44,39,44,도시대기,서울,관악구,신림동,58,51,47,49,52,40,27,20,27,31,40,40,도시대기,서울,관악구,신림동,60,43,54,53,56,42,35,39,31,32,46,58.0,도시대기,서울,관악구,신림동,61,61,65,62,68,43,46.0,36.0,35.0,40,47,44,도시대기,서울,관악구,신림동,53,86,78,49,50,41,38,41,34,50,40,52,도시대기,서울,관악구,관악구,49,45,62,66,55,50,38,38,40,39,50,45,도시대기,서울,관악구,관악구,49,43,55,59,64,48,35,23,32,28,37,45,도시대기,서울,관악구,관악구,47,48,57,57,50,44,26,25,25,35,61,47,도시대기,서울,관악구,관악구,72,63,76,48,62,35,26,24,-,45**,44,43,도시대기,서울,관악구,관악구,43,41,45,43,35,37,23,24,21,33,38,36
